,arima_order,mse
0,"(0, 1, 0)",0.00022847791225587562
1,"(0, 1, 1)",0.00013286927935960517
2,"(0, 1, 2)",0.00013215476583120907
3,"(0, 1, 3)",0.00013265899548880555
4,"(0, 1, 4)",0.00013234080167631867
5,"(1, 1, 0)",0.00019066274942512447
6,"(1, 1, 1)",0.0001322334133090511
7,"(1, 1, 2)",0.00013344379456929086
8,"(1, 1, 3)",0.00013373604939631304
9,"(1, 1, 4)",0.00013330318642293114
10,"(2, 1, 0)",0.00019424939030223215
11,"(2, 1, 1)",0.00013234038375368874
12,"(2, 1, 2)",0.00013396992149998128
13,"(2, 1, 3)",0.00013333229936344257
14,"(2, 1, 4)",0.00013145901249848565
15,"(3, 1, 0)",0.00017209554590144084
16,"(3, 1, 1)",0.00013182257614168346
17,"(3, 1, 2)",0.0001320939991175523
18,"(3, 1, 3)",0.0001329829444550109
19,"(3, 1, 4)",0.00013339940567697866
20,"(4, 1, 0)",0.00016602812199856525
21,"(4, 1, 1)",0.00013260357211438299
22,"(4, 1, 2)",0.00013422836006128834
23,"(4, 1, 3)",0.0001326227380269201
24,"(4, 1, 4)",0.00013504377281216767
